"Operator ID",TAYLOR,,,,
"Material Reference","KVP PLA",,,,
"Batch Reference",13698,,,,
"Test Temperature (°C)",210.0,,,,
"Test Weight (kg)",2.16000,,,,
"Preheat Time (secs)",360,,,,
"Material Density (g/cc)",1.096400,,,,
"Slice Count",20,,,,
"Test Distance (mm)",25.40,,,,
"M.F.I. High Limit (g/10mins)",25.00000,,,,
"M.F.I. Low Limit (g/10mins)",5.000000,,,,
"Shear Stress (Pascals)",19663.32,,,,
"I.V. Shear Stress Corr. Factor (% loss)",0,,,,
,,,,,
,"Test 1","Test 2","Test 3","Test 4","Test 5"
"Start Time","15:05 11/11/2019","15:14 11/11/2019","15:24 11/11/2019","15:44 11/11/2019","16:01 11/11/2019"
"Preheat Status","In Range","In Range","In Range","In Range","In Range"
"Extrusion Time (secs)",83.51,67.35,67.23,66.91,72.54
"M.F.I. (g/10mins)",14.27424,17.67758,17.71235,17.80536,16.42205
"Shear Rate (1/secs)",23.93725,29.64451,29.70281,29.85878,27.53904
"Viscosity (Pascal Secs)",821.4526,663.3040,662.0020,658.5440,714.0161
"Apparent I.V.",0.794642,0.765553,0.765290,0.764592,0.775452
"M.V.R. (cc/10mins)",13.01919,16.12330,16.15501,16.23984,14.97816
,,,,,
"Slice No.","Test 1","Test 2","Test 3","Test 4","Test 5"
1,12.94803,16.92917,16.50239,16.97796,15.54446
2,13.09189,16.78448,16.50239,17.12602,15.46287
3,13.35907,16.54874,16.68938,17.32750,15.66849
4,13.41993,16.92917,16.92917,17.37862,15.92257
5,13.41993,17.43003,16.27445,15.87965,16.00911
6,13.76484,18.12724,17.02703,17.17595,15.14486
7,14.26477,17.12602,17.63878,17.32750,15.87965
8,13.89470,17.48176,17.63878,17.12602,16.18503
9,14.16190,17.48176,17.48176,17.17595,15.92257
10,14.19603,17.48176,17.63878,18.01637,16.05273
11,14.19603,17.63878,17.85258,17.79865,16.41045
12,14.51072,17.48176,17.79865,17.85258,16.50239
13,14.54655,18.01637,18.07163,17.90684,16.59536
14,14.69165,17.85258,17.69175,18.18318,16.83243
15,14.87715,18.23948,18.23948,18.41047,16.92917
16,14.95267,18.23948,18.23948,18.58471,17.12602
17,14.95267,18.41047,18.76227,18.76227,17.22617
18,15.34206,18.18318,18.76227,18.58471,17.58612
19,15.18390,18.58471,19.19007,19.00436,17.53378
20,15.71027,18.58471,19.31591,19.50779,17.90684
,,,,,
"Slice Mean (g/10mins)",14.27424,17.67758,17.71235,17.80536,16.42205
"Slice Std Dev.",0.778011,0.612592,0.884562,0.851604,0.776142
,,,,,
"No. of Tests",5,,,,
"Batch Mean (g/10mins)",16.77832,,,,
"Batch Std Dev.",1.511062,,,,
